,ABV,Coin,Price
776,PTC,Pesetacoin,$0.016905
777,LEDU,Education Eco...,$0.010468
778,HPC,Happycoin,$0.147466
779,DTH,Dether,$0.026990
780,SENC,Sentinel Chain,$0.011399
781,NPER,NPER,$0.044614
782,GBX,GoByte,$0.942605
783,ADST,AdShares,$0.113896
784,LIKE,LikeCoin,$0.004655
785,BTCZ,BitcoinZ,$0.000873
786,TRST,WeTrust,$0.023759
787,CBT,CommerceBlock,$0.012634
788,XLR,Solaris,$1.47
789,ATM,ATMChain,$0.000465
790,AVA,Travala,$0.076120
791,SCL,Sociall,$0.127605
792,ABY,ArtByte,$0.002683
793,CAN,CanYaCoin,$0.048266
794,SHP,Sharpe Platfo...,$0.122123
795,ZAP,Zap,$0.017685
796,HWC,HollyWoodCoin,$0.261936
797,MAX,MaxCoin,$0.033649
798,GLD,GoldCoin,$0.050093
799,NIO,Autonio,$0.027530
800,GLA,Gladius Token,$0.141609
801,GEO,GeoCoin,$0.644932
802,FLP,FLIP,$0.036287
803,QWARK,Qwark,$0.031182
804,UFR,Upfiring,$0.102751
805,IDXM,IDEX Membership,$998.36
806,NET,Nimiq Exchang...,$0.190038
807,TKS,Tokes,$0.584790
808,2GIVE,2GIVE,$0.003830
809,SSP,Smartshare,$0.000653
810,ADB,adbank,$0.003428
811,HER,HeroNode,$0.002563
812,ELIX,Elixir,$0.061189
813,PKT,Playkey,$0.144437
814,EVE,Devery,$0.031177
815,IND,Indorse Token,$0.052738
816,BLUE,Blue Protocol,$0.053018
817,NSD,Nasdacoin,$0.108267
818,FLDC,FoldingCoin,$0.002955
819,1337,Elite,$0.000072
820,VIN,VINchain,$0.003947
821,USNBT,NuBits,$0.162333
822,XPD,PetroDollar,$0.029002
823,STA,Starta,$0.353816
824,GAT,Gatcoin,$0.003457
825,ZEL,ZelCash,$0.051782
826,VME,VeriME,$0.010931
827,BNTY,Bounty0x,$0.010182
828,BEE,Bee Token,$0.010575
829,ICOS,ICOS,$3.55
830,MYB,MyBit,$0.024743
831,X8X,X8X Token,$0.029121
832,TRF,Travelflex,$0.022411
833,MTX,Matryx,$0.076084
834,TRC,Terracoin,$0.076686
835,SXUT,Spectre.ai Ut...,$0.071126
836,ERC,EuropeCoin,$0.170662
837,SPRTS,Sprouts,$1.1e-07
838,AMLT,AMLT,$0.020354
839,FDX,FidentiaX,$0.016319
840,INSTAR,Insights Network,$0.012902
841,INXT,Internxt,$2.71
842,LOCI,LOCIcoin,$0.042775
843,VIT,Vice Industry...,$0.007341
844,NRVE,Narrative,$0.035903
845,808,808Coin,$0.000005
846,SEND,Social Send,$0.051716
847,BLU,BlueCoin,$0.002880
848,SNOV,Snovio,$0.004077
849,HB,HeartBout,$0.030985
850,ATB,ATBCoin,$0.039168
851,TRTT,Trittium,$0.021027
852,XBC,Bitcoin Plus,$14.45
853,ZLA,Zilla,$0.040901
854,DOV,Dovu,$0.020374
855,YOC,Yocoin,$0.014449
856,COIN,Coinvest,$0.157842
857,ARY,Block Array,$0.023507
858,MEDIC,MedicCoin,$0.007791
859,MONK,Monkey Project,$0.836715
860,LGS,LogisCoin,$12.16
861,ETT,EncryptoTel [...,$0.025444
862,LND,Lendingblock,$0.002655
863,UFO,Uniform Fisca...,$0.000429
864,SMS,Speed Mining ...,$15.00
865,WSX,WeAreSatoshi,$0.064006
866,RED,RED,$0.012005
867,MITX,Morpheus Labs,$0.008790
868,VRM,VeriumReserve,$0.878485
869,IOP,Internet of P...,$0.354720
870,MBI,Monster Byte,$0.091568
871,PARETO,Pareto Network,$0.005921
872,NXC,Nexium,$0.023110
873,BETR,BetterBetting,$0.009365
874,HGT,HelloGold,$0.005751
875,MSR,Masari,$0.213315
876,SPHR,Sphere,$0.488342
877,PBL,Publica,$0.080059
878,ZIPT,Zippie,$0.007518
879,MEME,Memetic / Pep...,$0.063786
880,KIND,Kind Ads Token,$0.067674
881,GENE,Parkgene,$0.005239
882,EZT,EZToken,$0.127354
883,SYNX,Syndicate,$0.074132
884,RCT,RealChain,$0.004564
885,0xBTC,0xBitcoin,$0.477136
886,PLAY,HEROcoin,$0.011860
887,KORE,Kore,$0.701855
888,XHI,HiCoin,$0.000316
889,HQX,HOQU,$0.009141
890,CFUN,CFun,$0.003157
891,FID,Fidelium,$0.011485
892,BUZZ,BuzzCoin,$0.000067
893,FLUZ,Fluz Fluz,$0.006471
894,RAIN,Condensate,$0.004751
895,BITS,Bitswift,$0.338570
896,CPAY,Cryptopay,$0.019359
897,DOPE,DopeCoin,$0.011092
898,SIG,Spectiv,$0.004538
899,SEXC,ShareX,$0.001994
900,WISH,MyWish,$0.067168
901,ZEPH,Zephyr,$0.010103
902,SPR,SpreadCoin,$0.120021
903,AUC,Auctus,$0.073736
904,CAT,BitClave,$0.002490
905,EGC,EverGreenCoin,$0.091140
906,HYP,HyperStake,$0.000940
907,PFR,Payfair,$0.013844
908,IPSX,IP Exchange,$0.001519
909,LALA,LALA World,$0.006345
910,PUT,Profile Utili...,$0.026471
911,ORS,Origin Sport,$0.027931
912,TIPS,FedoraCoin,$0.000006
913,BELA,Bela,$0.031214
914,NAVI,Naviaddress,$0.004824
915,BTM,Bitmark,$0.121656
916,NUSD,nUSD,$0.993581
917,EXCL,ExclusiveCoin,$0.238490
918,INV,Invacio,$0.026308
919,ZEIT,Zeitcoin,$0.000031
920,DERO,Dero,$0.305785
921,BON,Bonpay,$0.099282
922,XTL,Stellite,$0.000212
923,EBST,eBoost,$0.055679
924,PRIX,Privatix,$0.941327
925,CANN,CannabisCoin,$0.014381
926,HUR,Hurify,$0.005903
927,TKA,Tokia,$0.025885
928,ZXC,0xcert,$0.009418
929,KRB,Karbo,$0.166979
930,ONL,On.Live,$0.052650
931,PIX,Lampix,$0.007830
932,ATL,ATLANT,$0.027923
933,BRK,Breakout,$0.054536
934,UNIT,Universal Cur...,$0.068892
935,BOUTS,BoutsPro,$0.013333
936,LDC,Leadcoin,$0.001301
937,ZOI,Zoin,$0.055154
938,FTX,FintruX Network,$0.011831
939,WRC,Worldcore,$0.005582
940,SPD,Stipend,$0.124252
941,HUC,HunterCoin,$0.040902
942,FOR,FORCE,$0.006918
943,TGAME,Truegame,$0.014712
944,SHL,Oyster Shell,$0.011205
945,NOBL,NobleCoin,$0.000404
946,VOISE,Voise,$0.001804
947,LWF,Local World F...,$0.009739
948,MVC,Maverick Chain,$0.008980
949,HUSH,Hush,$0.203578
950,GCN,GCN Coin,$0.000006
951,ING,Iungo,$0.023199
952,CRED,Verify,$0.067859
953,GPKR,Gold Poker,$1.18
954,MRT,Miners' Rewar...,$0.091111
955,ALT,Altcoin,$7.39
956,NDC,NEVERDIE,$0.022124
957,TRUST,TrustPlus,$0.028209
958,PHO,Photon,$0.000037
959,PTT,Proton Token,$0.000610
960,SKIN,SkinCoin,$0.010095
961,BOB,Bob's Repair,$0.011172
962,IFLT,InflationCoin,$0.000019
963,EQT,EquiTrader,$0.077238
964,TEAM,TEAM (TokenSt...,$0.081054
965,RGS,RusGas,$0.000806
966,XNN,Xenon,$0.002756
967,RYO,Ryo Currency,$0.140044
968,ODN,Obsidian,$0.031950
969,ORE,Galactrum,$0.393702
970,EQL,Equal,$0.001680
971,SSS,Sharechain,$0.000308
972,SGR,Sugar Exchange,$0.039888
973,THRT,Thrive Token,$0.008249
974,EFL,e-Gulden,$0.044762
975,I0C,I0Coin,$0.036112
976,BBP,BiblePay,$0.000853
977,AKA,Akroma,$0.054469
978,IXC,Ixcoin,$0.035024
979,FSBT,Forty Seven Bank,$0.208497
980,KNDC,KanadeCoin,$0.000131
981,OOT,Utrum,$0.022163
982,AIX,Aigang,$0.033702
983,JOT,Jury.Online T...,$0.077909
984,BMH,BlockMesh,$0.007791
985,XBP,BlitzPredict,$0.001982
986,BBO,Bigbom,$0.002279
987,SPF,SportyCo,$0.012746
988,DAN,Daneel,$0.018302
989,KLKS,Kalkulus,$0.057740
990,BTW,BitWhite,$0.018238
991,CL,Coinlancer,$0.009299
992,TZC,TrezarCoin,$0.006851
993,SGN,Signals Network,$0.007443
994,DFT,DraftCoin,$0.081140
995,BIO,BioCoin,$0.000938
996,XMG,Magi,$0.078950
997,XMCC,Monoeci,$0.095367
998,MNTP,GoldMint,$0.331986
999,VSX,Vsync,$0.003955
1000,ZER,Zero,$0.208435
1001,ELY,Elysian,$0.007814
1002,EBTC,eBitcoin,$0.033085
1003,WAND,WandX,$0.050926
1004,RUPX,Rupaya,$0.017636
1005,ADI,Aditus,$0.002583
1006,DOR,Dorado,$0.002920
1007,TRTL,Turtlecoin,$0.000027
1008,CRB,Creditbit,$0.035664
1009,BSTN,BitStation,$0.000170
1010,PHI,PHI Token,$0.117250
1011,PYLNT,Pylon Network,$1.61
1012,VIU,Viuly,$0.000674
1013,CRC,CryCash,$0.126545
1014,LNC,Blocklancer,$0.004747
1015,CMPCO,CampusCoin,$0.001164
1016,OCL,Oceanlab,$0.011725
1017,TOLL,Bridge Protocol,$0.002390
1018,AMN,Amon,$0.002240
1019,APR,APR Coin,$0.145988
1020,KRL,Kryll,$0.049347
1021,ADZ,Adzcoin,$0.011947
1022,PMNT,Paymon,$0.000851
1023,LIVE,Live Stars,$0.012936
1024,XSG,SnowGem,$0.072609
1025,FOXT,Fox Trading,$0.072038
1026,AMM,MicroMoney,$0.043505
1027,ACE,ACE (TokenStars),$0.051392
1028,STAC,StarterCoin,$0.001743
1029,BIT,BitRewards,$0.001935
1030,XCN,Cryptonite,$0.001100
1031,FGC,FantasyGold,$0.053845
1032,UNB,UnbreakableCoin,$0.208273
1033,BYC,Bytecent,$0.207400
1034,DP,DigitalPrice,$0.023709
1035,CREA,Creativecoin,$0.028651
1036,PCN,PeepCoin,$0.000021
1037,VSL,vSlice,$0.013433
1038,DEUS,DeusCoin,$0.040361
1039,TCC,The ChampCoin,$0.002694
1040,KLN,Kolion,$0.616132
1041,IC,Ignition,$0.472822
1042,ZET,Zetacoin,$0.002452
1043,PUT,PutinCoin,$0.000737
1044,SCT,Soma,$0.059811
1045,FND,FundRequest,$0.011626
1046,FRST,FirstCoin,$0.012317
1047,INN,Innova,$0.088790
1048,SUR,Suretly,$1.68
1049,XDNA,XDNA,$0.230561
1050,ZNY,Bitzeny,$0.004908
1051,ELLA,Ellaism,$0.033305
1052,CASH,Cashcoin,$0.007657
1053,STU,bitJob,$0.007593
1054,ITT,Intelligent T...,$0.036985
1055,MAO,Mao Zedong,$0.056417
1056,MORE,More Coin,$0.176982
1057,MFG,SyncFab,$0.002163
1058,DGPT,DigiPulse,$0.153138
1059,XGOX,XGOX,$0.000144
1060,ZINC,ZINC,$0.097678
1061,ARC,Advanced Tech...,$0.013389
1062,DEM,Deutsche eMark,$0.007864
1063,RTB,AB-Chain RTB,$0.028441
1064,VIVO,VIVO,$0.124203
1065,BTDX,Bitcloud,$0.012823
1066,KBR,Kubera Coin,$0.002776
1067,WSD,White Standard,$0.909937
1068,SGP,SGPay,$0.135460
1069,EBET,EthBet,$0.033186
1070,RLT,RouletteToken,$0.027470
1071,EXMR,Ethereum Monero,$0.023620
1072,PROC,ProCurrency,$0.002754
1073,BTRN,Biotron,$0.008318
1074,TDS,TokenDesk,$0.026223
1075,FANS,Fantasy Cash,$0.057492
1076,OPC,OP Coin,$0.000135
1077,ESZ,EtherSportz,$0.050511
1078,EARTH,Earth Token,$0.001213
1079,TRUMP,TrumpCoin,$0.037478
1080,ORI,Origami,$0.058317
1081,BTWTY,Bit20,"$242,164"
1082,MCAP,MCAP,$0.023050
1083,ACED,AceD,$0.141397
1084,ACRE,ACRE,$0.136228
1085,CAZ,Cazcoin,$0.007748
1086,PLAN,Plancoin,$0.040424
1087,XRA,Ratecoin,$0.001771
1088,EGEM,EtherGem,$0.023937
1089,BSM,Bitsum,$0.000202
1090,ARCT,ArbitrageCT,$0.002149
1091,PRIV,PRiVCY,$0.025669
1092,MAC,Machinecoin,$0.008866
1093,DTRC,Datarius Credit,$0.001484
1094,WILD,Wild Crypto,$0.007710
1095,BANK,Bank Coin,$0.029981
1096,HOLD,Stellar Holdings,$0.000201
1097,GRMD,GreenMed,$0.015511
1098,JET,Jetcoin,$0.026066
1099,UNIFY,Unify,$0.009300
1100,VRS,Veros,$0.011092
1101,IG,IGToken,$0.000092
1102,WHL,WhaleCoin,$0.015446
1103,BTCN,BitcoiNote,$0.016231
1104,WEB,Webcoin,$0.004680
1105,GMCN,GambleCoin,$0.032608
1106,YUP,Crowdholding,$0.000926
1107,XOV,XOVBank,$0.002614
1108,NOX,Nitro,$0.013459
1109,LEA,LeaCoin,$0.000319
1110,TTC,TittieCoin,$0.000096
1111,SPK,Sparks,$0.035655
1112,EUNO,EUNO,$0.023238
1113,DSR,Desire,$0.025188
1114,CMM,Commercium,$0.005218
1115,NET,NetCoin,$0.000134
1116,OCC,Octoin Coin,$0.243800
1117,XMCT,XMCT,$0.007743
1118,ELTCOIN,ELTCOIN,$0.001107
1119,GB,GoldBlocks,$0.006126
1120,TEK,TEKcoin,$0.000067
1121,GRLC,Garlicoin,$0.007471
1122,QVT,Qvolta,$0.011996
1123,MFTU,Mainstream Fo...,$0.000333
1124,XRH,Rhenium,$0.003571
1125,METM,MetaMorph,$0.002370
1126,STN,Steneum Coin,$0.025108
1127,EAGLE,EagleCoin,$0.030052
1128,AMS,AmsterdamCoin,$0.001143
1129,GUESS,Peerguess,$0.001880
1130,HTH,Help The Home...,$0.000202
1131,BITF,BitF,$0.014350
1132,ADCN,Asiadigicoin,$0.001209
1133,ARB,ARbit,$0.001813
1134,NANOX,Project-X,$38921.05
1135,HMC,HarmonyCoin,$0.003384
1136,LKK,Lykke,$0.059922
1137,XTO,Tao,$0.552954
1138,UTT,United Trader...,$0.429871
1139,UTNP,Universa,$0.007052
1140,NOKU,Noku,$0.521167
1141,RBY,Rubycoin,$0.273788
1142,GRID,Grid+,$0.180039
1143,BCC,BitConnect,$0.679889
1144,ECOB,Ecobit,$0.012627
1145,CHIPS,CHIPS,$0.223243
1146,APX,APX,$6.44
1147,OXY,Oxycoin,$0.030172
1148,CCRB,CryptoCarbon,$0.133453
1149,AC,AsiaCoin,$0.001751
1150,HDG,Hedge,$0.797227
1151,REAL,REAL,$0.282612
1152,OTN,Open Trading ...,$1.30
1153,BCY,Bitcrystals,$0.105025
1154,OBITS,OBITS,$0.135616
1155,TRAK,TrakInvest,$0.025009
1156,PLU,Pluton,$2.35
1157,SENSE,Sense,$0.010097
1158,TGT,Target Coin,$0.002015
1159,KB3,B3Coin,$0.002578
1160,BRX,Breakout Stake,$0.287137
1161,FOOD,FoodCoin,$0.004475
1162,OPT,Opus,$0.012498
1163,QRK,Quark,$0.006712
1164,SETH,Sether,$0.098339
1165,TIE,Ties.DB,$0.038887
1166,CBX,Bullion,$1.52
1167,GOOD,Goodomy,$0.002498
1168,FCN,Fantomcoin,$0.202372
1169,BUN,BunnyCoin,$0.000014
1170,DAR,Darcrus,$0.106850
1171,ASTRO,Astro,$0.420671
1172,HORSE,Ethorse,$0.012596
1173,BTI,Bitcoin Instant,$0.009454
1174,HEAT,HEAT,$0.035190
1175,BPL,Blockpool,$0.056484
1176,GETX,Guaranteed Et...,$0.004190
1177,POSW,PoSW Coin,$0.028141
1178,ATMOS,Atmos,$0.011619
1179,TBX,Tokenbox,$0.101000
1180,ETBS,Ethbits,$0.671632
1181,HAC,Hackspace Cap...,$0.003358
1182,VZT,Vezt,$0.018250
1183,ECN,E-coin,$2.97
1184,EFYT,Ergo,$2.59
1185,LDOGE,LiteDoge,$0.000068
1186,XUN,UltraNote Coin,$0.000818
1187,REX,imbrex,$0.116438
1188,CHX,Own,$0.016733
1189,HIRE,HireMatch,$0.030096
1190,XPA,XPA,$0.016872
1191,HERO,Sovereign Hero,$199.70
1192,CPY,COPYTRACK,$0.041452
1193,CAT,BlockCAT,$0.128416
1194,NTRN,Neutron,$0.024191
1195,42,42-coin,$21022.73
1196,CARBON,Carboncoin,$0.000057
1197,STAR,Starbase,$0.004591
1198,MOTO,Motocoin,$0.043243
1199,VIEW,View,$0.025038
1200,VIEW,View,$0.025038
1201,RC,RussiaCoin,$0.099401
1202,SUPER,SuperCoin,$0.016843
1203,PING,CryptoPing,$0.081200
1204,ADC,AudioCoin,$0.000863
1205,SUMO,Sumokoin,$0.108470
1206,DIX,Dix Asset,$0.000007
1207,TES,TeslaCoin,$0.009500
1208,DNR,Denarius,$0.204097
1209,FYP,FlypMe,$0.040298
1210,ONG,SoMee.Social,$0.018212
1211,ARG,Argentum,$0.065554
1212,CHC,ChainCoin,$0.042447
1213,SMLY,SmileyCoin,$0.000025
1214,DAY,Chronologic,$0.865631
1215,AHT,Bowhead,$0.077470
1216,INSN,InsaneCoin,$0.026636
1217,NSR,NuShares,$0.000201
1218,REF,RefToken,$0.756793
1219,FJC,FujiCoin,$0.000337
1220,TRCT,Tracto,$0.019973
1221,UNI,Universe,$0.015833
1222,CRAVE,Crave,$0.034405
1223,LOG,Woodcoin,$0.064645
1224,CDN,Canada eCoin,$0.005255
1225,RUP,Rupee,$0.020953
1226,MANNA,Manna,$0.001816
1227,NLX,Nullex,$0.012549
1228,TSE,Tattoocoin (S...,$0.005504
1229,RIYA,Etheriya,$0.309354
1230,DTX,DaTa eXchange,$0.021425
1231,ORB,Orbitcoin,$0.143976
1232,NKA,IncaKoin,$0.000028
1233,RNS,Renos,$0.013231
1234,KOBO,Kobocoin,$0.017770
1235,DRPU,DCORP Utility,$0.120894
1236,TIG,Tigereum,$0.027296
1237,UNIC,UniCoin,$0.135132
1238,CJT,ConnectJob,$0.003651
1239,BITSILVER,bitSilver,$18.85
1240,KEK,KekCoin,$0.038066
1241,STRC,StarCredits,$0.089830
1242,ZENI,Zennies,$0.000403
1243,GMT,Mercury Protocol,$0.002277
1244,SXC,Sexcoin,$0.002981
1245,BBI,BelugaPay,$0.073879
1246,EDRC,EDRCoin,$0.130532
1247,FYN,FundYourselfNow,$0.392426
1248,DGC,Digitalcoin,$0.011914
1249,XPTX,PlatinumBAR,$0.270325
1250,FLT,FlutterCoin,$0.000808
1251,DCY,Dinastycoin,$0.000201
1252,BRIA,BriaCoin,$0.460000
1253,GOLF,Golfcoin,$0.000201
1254,RBIES,Rubies,$0.032708
1255,BITBTC,bitBTC,$6625.00
1256,STAK,STRAKS,$0.044631
1257,SKC,Skeincoin,$0.024591
1258,TALK,BTCtalkcoin,$0.004903
1259,SNRG,Synergy,$0.081469
1260,DSH,Dashcoin,$0.018197
1261,CDX,Commodity Ad ...,$0.009697
1262,MOIN,Moin,$0.039991
1263,MAGE,MagicCoin,$0.041569
1264,UIS,Unitus,$0.004986
1265,ZZC,ZoZoCoin,$0.157686
1266,EL,Elcoin,$0.027334
1267,START,Startcoin,$0.006748
1268,ELE,Elementrem,$0.011430
1269,WDC,WorldCoin,$0.002493
1270,BDL,Bitdeal,$0.001684
1271,INPAY,InPay,$0.029511
1272,MXT,MarteXcoin,$0.095426
1273,CTL,Citadel,$0.027537
1274,BITGOLD,bitGold,$1523.95
1275,POP,PopularCoin,$0.000075
1276,OPAL,Opal,$0.018864
1277,MAZA,MAZA,$0.000269
1278,PXC,Phoenixcoin,$0.004103
1279,FLIK,FLiK,$0.004685
1280,BWS,Bitcoin W Spe...,$0.002692
1281,BRO,Bitradio,$0.041712
1282,FT,Fabric Token,$0.011256
1283,GUN,Guncoin,$0.001213
1284,MCI,Musiconomi,$0.009836
1285,MAG,Magnet,$0.008120
1286,Q2C,QubitCoin,$0.001078
1287,USC,Ultimate Secu...,$0.025505
1288,TRK,Truckcoin,$0.001280
1289,HBN,HoboNickels,$0.004110
1290,ICOO,ICO OpenLedger,$0.562476
1291,TDX,Tidex Token,$0.027512
1292,EPY,Emphy,$0.032943
1293,TAG,TagCoin,$0.040424
1294,HODL,HOdlcoin,$0.001545
1295,BTA,Bata,$0.050108
1296,LANA,LanaCoin,$0.000269
1297,ONX,Onix,$0.002351
1298,IETH,iEthereum,$0.013763
1299,SAGA,SagaCoin,$0.049835
1300,TRI,Triangles,$2.07
1301,V,Version,$0.000470
1302,REC,Regalcoin,$0.018794
1303,EBCH,EBCH,$0.025814
1304,CROAT,CROAT,$0.006953
1305,LINX,Linx,$0.008351
1306,CCO,Ccore,$0.139066
1307,MTNC,Masternodecoin,$0.004298
1308,PIGGY,Piggycoin,$0.000469
1309,MBRS,Embers,$0.004514
1310,TROLL,Trollcoin,$0.000388
1311,CNT,Centurion,$0.002830
1312,XPY,PayCoin,$0.018201
1313,BTCR,Bitcurrency,$0.001280
1314,NMS,Numus,$0.078000
1315,BRIT,BritCoin,$0.010045
1316,FST,Fastcoin,$0.001347
1317,ATS,Authorship,$0.002021
1318,HAL,Halcyon,$0.032069
1319,DTEM,Dystem,$0.110819
1320,NYAN,Nyancoin,$0.000607
1321,FUNK,The Cypherfunks,$0.000004
1322,AIB,Advanced Inte...,$0.006064
1323,UTC,UltraCoin,$0.004042
1324,NETKO,Netko,$0.031665
1325,ECASH,Ethereum Cash,$0.013433
1326,ICN,iCoin,$0.006334
1327,MEC,Megacoin,$0.005056
1328,JEW,Shekel,$0.001612
1329,ARI,Aricoin,$0.000808
1330,XJO,Joulecoin,$0.005118
1331,NOBS,No BS Crypto,$0.000269
1332,DMB,Digital Money...,$0.002100
1333,NBR,Niobio Cash,$0.001647
1334,KUSH,KushCoin,$0.031448
1335,BLC,Blakecoin,$0.008932
1336,IRL,IrishCoin,$0.004769
1337,BTB,BitBar,$4.40
1338,MARS,Marscoin,$0.005929
1339,JC,Jesus Coin,$0.000009
1340,BITS,Bitstar,$0.008287
1341,RBT,Rimbit,$0.000815
1342,CRM,Cream,$0.003545
1343,TGC,Tigercoin,$0.003571
1344,FRC,Freicoin,$0.004851
1345,ACC,Accelerator N...,$0.293906
1346,MNE,Minereum,$0.040420
1347,HC,Harvest Maste...,$0.041434
1348,BTCRED,Bitcoin Red,$0.007006
1349,BIGUP,BigUp,$0.000067
1350,BITEUR,bitEUR,$1.32
1351,EVIL,Evil Coin,$0.006693
1352,UCOM,United Crypto...,$0.108273
1353,ITI,iTicoin,$4.33
1354,ETG,Ethereum Gold,$0.011453
1355,GAP,Gapcoin,$0.009904
1356,HNC,Helleniccoin,$0.002015
1357,WIN,WCOIN,$0.037301
1358,SLG,Sterlingcoin,$0.031665
1359,KED,Darsek,$0.005592
1360,TOKC,TOKYO,$0.000737
1361,AMMO,Ammo Reloaded,$0.001681
1362,TNS,Transcodium,$0.004176
1363,SMC,SmartCoin,$0.005090
1364,PR,Prototanium,$0.643169
1365,WGO,WavesGo,$0.014175
1366,EMD,Emerald Crypto,$0.006535
1367,BLZ,BlazeCoin,$0.000202
1368,KURT,Kurrent,$0.001972
1369,POST,PostCoin,$0.007606
1370,XCT,C-Bit,$0.000766
1371,CCT,Crystal Clear ,$0.023020
1372,BTCS,Bitcoin Scrypt,$0.006737
1373,HVCO,High Voltage,$0.077909
1374,FNTB,Fintab,$0.041630
1375,GLT,GlobalToken,$0.004115
1376,ACC,AdCoin,$0.017479
1377,PIPL,PiplCoin,$0.001349
1378,PAK,Pakcoin,$0.001820
1379,CJ,Cryptojacks,$0.000269
1380,ATOM,Atomic Coin,$0.006192
1381,CTX,CarTaxi Token,$0.002734
1382,XBL,Billionaire T...,$0.033391
1383,MOJO,MojoCoin,$0.008874
1384,PHS,Philosopher S...,$0.017989
1385,JIN,Jin Coin,$0.010827
1386,BBK,Bitblocks,$0.003787
1387,BCF,Bitcoin Fast,$0.006737
1388,JIYO,Jiyo,$0.017509
1389,DAXX,DaxxCoin,$0.000202
1390,TIT,Titcoin,$0.002110
1391,CHESS,ChessCoin,$0.001945
1392,DUO,ParallelCoin,$0.331604
1393,BSTY,GlobalBoost-Y,$0.006875
1394,BOLI,Bolivarcoin,$0.009055
1395,ARCO,AquariusCoin,$0.053771
1396,ASAFE2,AllSafe,$0.010712
1397,J,Joincoin,$0.030924
1398,VIDZ,PureVidz,$0.000779
1399,VOT,VoteCoin,$0.002686
1400,SPACE,SpaceCoin,$0.004045
1401,CRC,CrowdCoin,$0.025423
1402,SCRT,SecretCoin,$0.022309
1403,PKB,ParkByte,$0.019662
1404,BOST,BoostCoin,$0.007887
1405,ZUR,Zurcoin,$0.001007
1406,XRE,RevolverCoin,$0.003761
1407,INFX,Influxcoin,$0.051850
1408,LTB,LiteBar,$0.091021
1409,SWING,Swing,$0.023797
1410,CNO,Coin(O),$0.000806
1411,C2,Coin2.1,$0.001075
1412,SIGT,Signatum,$0.000776
1413,SDRN,Senderon,$0.001881
1414,ECO,EcoCoin,$0.069984
1415,XLC,Leviar,$0.006313
1416,DDF,DigitalDevelo...,$0.015764
1417,B@,Bankcoin,$0.007743
1418,LCP,Litecoin Plus,$0.042716
1419,CCN,CannaCoin,$0.016197
1420,SHDW,Shadow Token,$0.010611
1421,XCO,X-Coin,$0.005978
1422,300,300 Token,$246.42
1423,SRC,SecureCoin,$0.008085
1424,XCXT,CoinonatX,$0.003761
1425,RPC,RonPaulCoin,$0.074178
1426,$$$,Money,$0.001545
1427,NYEX,Nyerium,$0.004572
1428,TKR,CryptoInsight,$0.005531
1429,MST,MustangCoin,$0.109207
1430,OTX,Octanox,$0.008060
1431,GRN,Granite,$0.001679
1432,BUMBA,BumbaCoin,$0.002907
1433,QTL,Quatloo,$0.008731
1434,BERN,BERNcash,$0.000940
1435,IMX,Impact,$0.000604
1436,XSTC,Safe Trade Coin,$0.000201
1437,NEVA,NevaCoin,$0.019361
1438,888,OctoCoin,$0.001145
1439,CTO,Crypto,$0.004335
1440,8BIT,8Bit,$0.040461
1441,ENT,Eternity,$0.012940
1442,STV,Sativacoin,$0.008187
1443,BOAT,BOAT,$0.000795
1444,HBC,HomeBlockCoin,$0.011283
1445,DLC,Dollarcoin,$0.006112
1446,PASL,Pascal Lite,$0.010880
1447,CHAN,ChanCoin,$0.005374
1448,BTQ,BitQuark,$0.005104
1449,MCRN,MACRON,$0.000134
1450,611,SixEleven,$0.117536
1451,UET,Useless Ether...,$0.013425
1452,DRXNE,DROXNE,$0.000672
1453,VPRC,VapersCoin,$0.000067
1454,DBTC,Debitcoin,$0.002904
1455,XBTC21,Bitcoin 21,$0.065882
1456,ACOIN,Acoin,$0.042241
1457,FRV,Fitrova,$0.000007
1458,ETHD,Ethereum Dark,$0.031500
1459,BTPL,Bitcoin Planet,$0.006918
1460,STARS,StarCash Network,$0.048697
1461,MNC,Mincoin,$0.009769
1462,DTC,Datacoin,$0.001410
1463,TAJ,TajCoin,$0.004567
1464,CMT,Comet,$0.052011
1465,CAT,Catcoin,$0.006805
1466,QBC,Quebecoin,$0.002888
1467,NTO,Fujinto,$0.000672
1468,MSCN,Master Swiscoin,$0.000975
1469,TOK,Tokugawa,$0.042984
1470,NTWK,Network Token,$0.002793
1471,PXI,Prime-XI,$0.001986
1472,SFC,Solarflarecoin,$0.003083
1473,ERY,Eryllium,$0.003266
1474,PNX,Phantomx,$0.001429
1475,TRDT,Trident Group,$0.034112
1476,ELS,Elysium,$0.003090
1477,XSD,SounDAC,$0.002766
1478,ZMC,ZetaMicron,$0.000067
1479,GTC,Global Tour Coin,$0.001348
1480,GP,GoldPieces,$0.032870
1481,POS,PoSToken,$0.038153
1482,ALL,Allion,$0.006333
1483,IMS,Independent M...,$0.007123
1484,NRO,Neuro,$0.000672
1485,DALC,Dalecoin,$0.071088
1486,VISIO,Visio,$0.000739
1487,PLC,Polcoin,$0.000470
1488,GCC,GuccioneCoin,$0.001813
1489,JS,JavaScript Token,$0.004366
1490,BTCONE,BitCoin One,$0.003494
1491,MAY,Theresa May Coin,$0.000537
1492,DRS,Digital Rupees,$0.000067
1493,EXN,ExchangeN,$0.006716
1494,EUC,Eurocoin,$0.002754
1495,BENJI,BenjiRolls,$0.001612
