,ABV,Coin,Market Cap,Price
565,NLC2,NoLimitCoin,5774238.54871,$0.027590
566,GUP,Matchpool,5772319.72443,$0.076964
567,1ST,FirstBlood,5751988.65081,$0.067229
568,XSPEC,Spectrecoin,5734255.91068,$0.275881
569,ORME,Ormeus Coin,5661885.08959,$0.332479
570,UPP,Sentinel Prot...,5650326.85445,$0.029209
571,BCA,Bitcoin Atom,5649071.40214,$0.310481
572,QUN,QunQun,5624879.5702,$0.007939
573,B2B,B2BX,5615522.01968,$0.341584
574,DICE,Etheroll,5518642.6367,$0.788195
575,MOC,Mossland,5501190.81117,$0.035091
576,OMNI,Omni,5495994.71116,$9.79
577,HST,Decision Token,5465342.72816,$0.170653
578,AXPR,aXpire,5429773.19383,$0.020490
579,LUX,LUXCoin,5428992.46974,$2.30
580,BLT,Bloom,5393056.72185,$0.112680
581,UUU,U Network,5365092.6033,$0.000909
582,UP,UpToken,5339377.9159,$0.036493
583,SLR,SolarCoin,5321244.77132,$0.117307
584,BRM,BrahmaOS,5310962.53222,$0.008576
585,SENT,Sentinel,5304563.16402,$0.002652
586,RMC,Russian Miner...,5292630.64718,$3512.03
587,ONION,DeepOnion,5274890.34886,$0.333536
588,SNC,SunContract,5269427.31255,$0.043947
589,CHSB,SwissBorg,5238627.02896,$0.009098
590,BPT,Blockport,5211031.24764,$0.098561
591,LOC,LockTrip,5210490.28337,$0.560692
592,TIME,Chronobank,5207910.32459,$7.33
593,ELEC,Electrify.Asia,5195940.78967,$0.011602
594,MTH,Monetha,5189533.21622,$0.023808
595,TIX,Blocktix,5103067.30492,$0.127577
596,PRA,ProChain,5091985.38372,$0.102738
597,ZMN,ZMINE,5091342.48885,$0.037234
598,XMX,XMax,5067551.80359,$0.000722
599,AIDOC,AI Doctor,5062606.40339,$0.011419
600,MGD,MassGrid,5048584.47663,$0.100134
601,TRIG,Triggers,5046592.53918,$0.157187
602,GEN,DAOstack,5043869.67217,$0.131757
603,ERO,Eroscoin,5029320.7984,$0.026932
604,INCNT,Incent,5013057.66698,$0.108940
605,ZCN,0chain,5008790.80956,$0.125220
606,CBC,CashBet Coin,4946041.39537,$0.049881
607,DTB,Databits,4894317.74622,$0.215156
608,EXP,Expanse,4878458.09039,$0.464824
609,PBT,Primalbase Token,4855429.69958,$3884.34
610,CV,carVertical,4820879.60742,$0.000810
611,XSH,SHIELD,4806139.55451,$0.009369
612,NYC,NewYorkCoin,4796691.30225,$0.000036
613,AC3,AC3,4784605.14409,$0.069518
614,GAM,Gambit,4697020.54547,$4.07
615,ABYSS,The Abyss,4692875.19302,$0.021158
616,NPX,NaPoleonX,4674968.89772,$0.184563
617,CRW,Crown,4642634.30147,$0.233843
618,MTN,Medicalchain,4639676.42919,$0.025079
619,DYN,Dynamic,4622657.77361,$0.904639
620,IXT,IXT,4552092.19194,$0.127229
621,XMY,Myriad,4525630.76878,$0.002827
622,ZSC,Zeusshield,4508235.42337,$0.003909
623,SRCOIN,SRCOIN,4480795.27119,$0.000887
624,PCH,POPCHAIN,4436369.89436,$0.014345
625,CXO,CargoX,4433401.68637,$0.034348
626,MLN,Melon,4414457.83142,$7.36
627,STK,STK,4362312.38248,$0.012761
628,MRK,MARK.SPACE,4350011.77643,$0.009000
629,ROCK2,ICE ROCK MINING,4341521.2998,$0.276631
630,ALX,ALAX,4318456.78584,$0.012897
631,RTE,Rate3,4309783.83341,$0.010046
632,GET,GET Protocol,4296166.833,$0.377245
633,SSC,SelfSell,4282752.61826,$0.010981
634,CLO,Callisto Network,4274403.24875,$0.007342
635,SHND,StrongHands,4261635.30679,$2.7e-07
636,PRG,Paragon,4238498.49265,$0.064281
637,SIB,SIBCoin,4215887.29905,$0.248279
638,POLIS,Polis,4173912.44037,$1.20
639,MUE,MonetaryUnit,4170493.2005,$0.030005
640,XAUR,Xaurum,4138916.05331,$0.036417
641,NOTE,DNotes,4128577.38753,$0.030572
642,XES,Proxeus,4106648.92646,$0.020206
643,OAX,OAX,4102126.76451,$0.164024
644,PAT,Patron,4100046.84227,$0.016194
645,DOT,Dotcoin,4083775.16723,$0.013088
646,ETK,EnergiToken,4071628.68526,$0.002988
647,ARN,Aeron,4043795.48566,$0.311061
648,ECOM,Omnitude,4019019.7699,$0.085839
649,SWTH,Switcheo,3960824.81499,$0.007578
650,OLT,OneLedger,3937961.57667,$0.010310
651,BET,DAO.Casino,3934120.75164,$0.023519
652,OMX,Shivom,3905314.01628,$0.006899
653,RLX,Relex,3902767.60768,$0.003997
654,STX,Stox,3883624.72643,$0.080615
655,LOKI,Loki,3877448.67128,$0.146039
656,BOT,Bodhi,3872789.9456,$0.096820
657,MDT,Measurable Da...,3864057.72824,$0.010175
658,REM,Remme,3850947.91495,$0.006404
659,DLT,Agrello,3828185.06429,$0.044525
660,CAG,Change,3804006.18274,$0.102506
661,DNA,EncrypGen,3787443.47239,$0.060911
662,NTK,Neurotoken,3777523.95655,$0.046620
663,FORK,Forkcoin,3761900.33029,$0.844361
664,BZ,Bit-Z Token,3726721.32267,$0.131943
665,OXY,Oxycoin,3704311.269,$0.033243
666,EVC,EventChain,3702910.11221,$0.118491
667,SHIP,ShipChain,3667189.92878,$0.018248
668,SKM,Skrumble Network,3660833.05344,$0.005340
669,TNC,Trinity Netwo...,3619964.29115,$0.010860
670,GRFT,Graft,3616363.97195,$0.009571
671,SEM,Semux,3615878.58962,$0.464035
672,XST,Stealth,3607176.61575,$0.121625
673,RMESH,RightMesh,3551337.72174,$0.063103
674,AUR,Auroracoin,3532197.56978,$0.311797
675,HB,HeartBout,3521340.20457,$0.066196
676,GOLOS,Golos,3517689.96675,$0.028250
677,PND,Pandacoin,3492896.79538,$0.000107
678,QBT,Qbao,3486147.40347,$0.053345
679,DRT,DomRaider,3478284.37772,$0.005880
680,DBIX,DubaiCoin,3448561.8881,$1.54
681,ACAT,Alphacat,3444302.38201,$0.001234
682,UBT,Unibright,3434628.36889,$0.024855
683,MVP,Merculet,3431291.62343,$0.001547
684,ABL,Airbloc,3429681.51096,$0.022449
685,NEOS,NeosCoin,3382481.4577,$0.840183
686,MUSIC,Musicoin,3379602.72556,$0.004354
687,TUBE,BitTube,3352811.2888,$0.040567
688,DEB,Debitum,3351499.14632,$0.017415
689,NKC,Nework,3329926.22649,$0.022563
690,NIM,Nimiq,3323034.02063,$0.001616
691,SNTR,Silent Notary,3318866.79426,$0.000040
692,GEM,Gems ,3292028.10189,$0.002869
693,1WO,1World,3263204.22864,$0.157745
694,BBN,Banyan Network,3255251.14188,$0.011115
695,NCC,NeuroChain,3254058.17174,$0.020851
696,EFX,Effect.AI,3243825.68076,$0.015696
697,TFL,TrueFlip,3240787.93255,$0.518753
698,EXY,Experty,3200703.36533,$0.118158
699,EXRN,EXRNchain,3186763.25266,$0.000034
700,IDH,indaHash,3176698.88182,$0.007943
701,LIFE,LIFE,3173707.37373,$0.000135
702,KRM,Karma,3161024.82574,$0.001773
703,WCT,Waves Communi...,3153383.98431,$0.316459
704,BSD,BitSend,3144250.07388,$0.154682
705,APH,Aphelion,3131279.45615,$0.071399
706,LNC,Linker Coin,3123838.69268,$0.027699
707,AIT,AICHAIN,3122815.42631,$0.005836
708,HXX,Hexx,3091545.91707,$1.78
709,POLL,ClearPoll,3088199.08844,$0.441172
710,SS,Sharder,3075267.52581,$0.010856
711,COFI,CoinFi,3073526.76911,$0.017639
712,ADH,AdHive,3071960.8418,$0.027448
713,XNK,Ink Protocol,3066389.10463,$0.016683
714,LMC,LoMoCoin,3052124.40708,$0.012603
715,IPL,VouchForMe,3050335.18599,$0.015176
716,ESP,Espers,3050332.11868,$0.000138
717,OK,OKCash,3044190.58895,$0.041048
718,BERRY,Rentberry,3035943.79814,$0.010072
719,AID,AidCoin,3011859.35791,$0.071932
720,PTOY,Patientory,3000382.36835,$0.042863
721,ENRG,Energycoin,2986261.36849,$0.024445
722,LEV,Leverj,2977193.33292,$0.025211
723,NBAI,Nebula AI,2970531.6277,$0.002555
724,PKC,PikcioChain,2959143.51648,$0.070164
725,AIR,AirToken,2950559.8915,$0.002810
726,FACE,Faceter,2941194.60254,$0.006270
727,BMX,BitMart Token,2930249.10138,$0.025578
728,ADST,AdShares,2922964.76882,$0.150831
729,CHP,CoinPoker,2896280.28747,$0.009233
730,IFT,InvestFeed,2890621.05831,$0.015104
731,AVT,Aventus,2874626.85457,$0.479104
732,OTN,Open Trading ...,2834633.26672,$1.46
733,PCL,Peculium,2833368.50525,$0.002795
734,NBC,Niobium Coin,2828202.16344,$0.059310
735,SEQ,Sequence,2804002.49322,$0.061077
736,GCC,Global Crypto...,2770935.93314,$0.002147
737,TOA,ToaCoin,2770720.46146,$0.001069
738,CURE,Curecoin,2750408.15604,$0.115116
739,CCCX,Clipper Coin,2738936.96586,$0.003593
740,PTC,Pesetacoin,2718385.43259,$0.020073
741,PIRL,Pirl,2700881.07023,$0.108616
742,CEEK,CEEK VR,2686311.35139,$0.006662
743,FDZ,Friendz,2657218.28143,$0.005276
744,FLIXX,Flixxo,2644027.7877,$0.033187
745,ATM,ATMChain,2642913.1987,$0.000567
746,SWT,Swarm City,2637656.66606,$0.318521
747,TSL,Energo,2583338.42255,$0.004289
748,XHV,Haven Protocol,2577212.17787,$0.578919
749,BCY,Bitcrystals,2565962.20423,$0.110814
750,HKN,Hacken,2565847.52385,$0.480117
751,COVAL,Circuits of V...,2562200.24414,$0.002562
752,CLN,Colu Local Ne...,2562035.81682,$0.021630
753,CTC,Credit Tag Chain,2561991.75976,$0.073844
754,REBL,REBL,2517989.97052,$0.014719
755,J8T,JET8,2511413.85241,$0.005341
756,NPER,NPER,2505926.88749,$0.050191
757,MYST,Mysterium,2492129.17649,$0.106006
758,BDG,BitDegree,2489237.22152,$0.007005
759,DTH,Dether,2473188.7341,$0.029584
760,OLE,Olive,2466819.83809,$0.008905
761,HBZ,Helbiz,2466381.30416,$0.003962
762,EKO,EchoLink,2392227.13779,$0.006417
763,TRST,WeTrust,2383575.53542,$0.025867
764,REAL,REAL,2363623.77614,$0.235050
765,CPC,Capricoin,2362087.46012,$1.19
766,1337,Elite,2346301.62192,$0.000089
767,PAL,PolicyPal Net...,2328218.9196,$0.005721
768,XLR,Solaris,2321920.50413,$1.56
769,SOUL,Phantasma,2300225.25992,$0.039433
770,BLUE,Blue Protocol,2290636.90702,$0.062508
771,BEZ,Bezop,2276529.87811,$0.045108
772,TX,TransferCoin,2259573.31792,$0.341577
773,DGX,Digix Gold Token,2249077.279,$39.40
774,ELIX,Elixir,2224697.05792,$0.069065
775,VME,VeriME,2220317.02037,$0.013307
776,PINK,PinkCoin,2217997.82015,$0.005757
777,MTC,MTC Mesh Network,2217538.56582,$0.008099
778,TTT,TrustNote,2214700.22959,$0.007144
779,LIKE,LikeCoin,2210160.76593,$0.004667
780,IDXM,IDEX Membership,2208771.65964,$1104.39
781,BTCZ,BitcoinZ,2193692.33081,$0.000866
782,ARO,Arionum,2187273.08493,$0.029223
783,SENC,Sentinel Chain,2185475.96229,$0.011079
784,KB3,B3Coin,2169422.19445,$0.002964
785,HPC,Happycoin,2164788.75858,$0.140496
786,HWC,HollyWoodCoin,2161272.86447,$0.266583
787,BRX,Breakout Stake,2158127.28658,$0.344304
788,GEO,GeoCoin,2153719.15428,$0.679209
789,SSP,Smartshare,2146175.12174,$0.000704
790,ADB,adbank,2128733.9391,$0.003669
791,X8X,X8X Token,2127709.6622,$0.034984
792,GLA,Gladius Token,2118171.68849,$0.146495
793,QWARK,Qwark,2103587.56888,$0.032733
794,FLP,FLIP,2091100.28776,$0.037371
795,GBX,GoByte,2082771.49912,$0.876955
796,LEDU,Education Eco...,2078525.91585,$0.009544
797,SPRTS,Sprouts,2061824.88945,$1.3e-07
798,CAN,CanYaCoin,2056049.71245,$0.047244
799,UFR,Upfiring,2055651.0596,$0.105743
800,ABY,ArtByte,2036493.58442,$0.002570
801,NXC,Nexium,2022496.94321,$0.030404
802,IND,Indorse Token,2017804.26664,$0.054399
803,GLD,GoldCoin,2013090.44185,$0.048811
804,AVA,Travala,1990531.92679,$0.070645
805,DOW,DOWCOIN,1979533.22848,$0.442555
806,NET,Nimiq Exchang...,1975758.13662,$0.188167
807,MYB,MyBit,1975685.39839,$0.025477
808,MTX,Matryx,1971193.33897,$0.084876
809,ZAP,Zap,1960704.20382,$0.016403
810,HER,HeroNode,1951520.22305,$0.002520
811,OPT,Opus,1940077.92748,$0.013850
812,TKS,Tokes,1935519.33824,$0.567700
813,2GIVE,2GIVE,1927942.96044,$0.003706
814,FLDC,FoldingCoin,1926776.92572,$0.002978
815,PKT,Playkey,1890239.02909,$0.138667
816,MAX,MaxCoin,1884982.4395,$0.030677
817,BNTY,Bounty0x,1882476.32967,$0.010601
818,VIT,Vice Industry...,1870082.58987,$0.008104
819,NSD,Nasdacoin,1865512.3428,$0.105189
820,USNBT,NuBits,1862628.90621,$0.160380
821,STA,Starta,1856359.11943,$0.356991
822,SCL,Sociall,1852251.95915,$0.110820
823,BEE,Bee Token,1851919.7417,$0.010643
824,NIO,Autonio,1829255.93737,$0.024406
825,DOV,Dovu,1821318.98564,$0.022786
826,AMLT,AMLT,1815652.96924,$0.021482
827,INXT,Internxt,1809468.39368,$2.87
828,CBT,CommerceBlock,1794931.7089,$0.010360
829,BLU,BlueCoin,1794321.96824,$0.003122
830,KWATT,4NEW,1792609.49288,$0.067036
831,ICOS,ICOS,1791086.99693,$3.53
832,ZEL,ZelCash,1782976.26434,$0.050206
833,XBC,Bitcoin Plus,1777733.32844,$15.65
834,VIN,VINchain,1771306.96074,$0.003689
835,INSTAR,Insights Network,1764401.47602,$0.013338
836,FDX,FidentiaX,1742596.14648,$0.016596
837,ERC,EuropeCoin,1735205.81402,$0.171529
838,TRF,Travelflex,1713425.47525,$0.021729
839,IOP,Internet of P...,1705631.15587,$0.391181
840,LATX,LatiumX,1704723.67276,$0.020284
841,ARY,Block Array,1695253.1564,$0.024773
842,TRC,Terracoin,1681216.63679,$0.073302
843,ZEIT,Zeitcoin,1680311.54066,$0.000045
844,ZEPH,Zephyr,1675188.94242,$0.013296
845,HYP,HyperStake,1657453.53228,$0.001253
846,TAC,Traceability ...,1642476.9793,$0.008892
847,ATB,ATBCoin,1642092.25602,$0.039062
848,MSR,Masari,1641814.61619,$0.230673
849,ZLA,Zilla,1637509.14184,$0.040972
850,RED,RED,1630561.94492,$0.012543
851,SXUT,Spectre.ai Ut...,1618119.10415,$0.065966
852,EVE,Devery,1616192.23204,$0.025687
853,RCT,RealChain,1610970.3166,$0.005104
854,YOC,Yocoin,1596846.71878,$0.014233
855,MONK,Monkey Project,1574487.01012,$0.830640
856,MITX,Morpheus Labs,1571679.10228,$0.008902
857,PARETO,Pareto Network,1570602.21747,$0.006047
858,COIN,Coinvest,1564457.94277,$0.153268
859,GAT,Gatcoin,1559122.40824,$0.002943
860,TRTT,Trittium,1557931.6286,$0.019599
861,LGS,LogisCoin,1552865.4154,$11.94
862,SEND,Social Send,1549413.46563,$0.048306
863,HQX,HOQU,1543286.25705,$0.010212
864,KORE,Kore,1542313.41008,$0.762591
865,PFR,Payfair,1520080.28542,$0.017080
866,SYNX,Syndicate,1518371.32681,$0.077739
867,LND,Lendingblock,1505491.44335,$0.002531
868,SPHR,Sphere,1504460.28327,$0.487995
869,SNOV,Snovio,1497381.97608,$0.003697
870,ANC,Anoncoin,1493516.10145,$0.707721
871,BETR,BetterBetting,1477579.1347,$0.009069
872,VRM,VeriumReserve,1469428.7596,$0.830174
873,GETX,Guaranteed Et...,1468286.80186,$0.004894
874,ATL,ATLANT,1444752.25313,$0.038473
875,PRIX,Privatix,1437473.93642,$1.22
876,LOCI,LOCIcoin,1432005.61297,$0.036089
877,PUT,Profile Utili...,1423149.34608,$0.031423
878,0xBTC,0xBitcoin,1410145.86522,$0.470786
879,DOPE,DopeCoin,1408778.44063,$0.012057
880,MEME,Memetic / Pep...,1403833.90432,$0.060587
881,SEXC,ShareX,1375432.42381,$0.002131
882,HEAT,HEAT,1373035.21479,$0.038119
883,MEDIC,MedicCoin,1364032.1707,$0.006619
884,ETBS,Ethbits,1358401.64477,$0.830984
885,HGT,HelloGold,1349118.97837,$0.005129
886,PBL,Publica,1328168.24298,$0.071472
887,TIPS,FedoraCoin,1311433.48474,$0.000006
888,WISH,MyWish,1309788.46424,$0.068485
889,ONL,On.Live,1302244.95663,$0.064542
890,LALA,LALA World,1300433.33488,$0.006805
891,REF,RefToken,1295169.0332,$1.76
892,NRVE,Narrative,1274130.10417,$0.027151
893,ZIPT,Zippie,1269588.33428,$0.005904
894,EZT,EZToken,1239883.16771,$0.107769
895,CANN,CannabisCoin,1236516.60387,$0.016011
896,SPR,SpreadCoin,1234104.77009,$0.117122
897,FID,Fidelium,1231602.92912,$0.010457
898,XHI,HiCoin,1228361.1897,$0.000277
899,DERO,Dero,1223723.06584,$0.327752
900,ZXC,0xcert,1201631.33894,$0.010449
901,IPSX,IP Exchange,1198474.71425,$0.001494
902,XPA,XPA,1192700.924,$0.020860
903,CFUN,CFun,1189711.33865,$0.002770
904,FTX,FintruX Network,1186453.28354,$0.013958
905,EXCL,ExclusiveCoin,1184981.20037,$0.246800
906,TKA,Tokia,1172064.56013,$0.027817
907,HUR,Hurify,1169407.50736,$0.006192
908,UNIT,Universal Cur...,1166083.54696,$0.078108
909,HAC,Hackspace Cap...,1158329.05011,$0.003581
910,KIND,Kind Ads Token,1155717.46835,$0.053065
911,EBST,eBoost,1155067.56952,$0.057753
912,BRK,Breakout,1154745.35084,$0.060939
913,XPD,PetroDollar,1153084.15667,$0.018019
914,NUSD,nUSD,1147697.36715,$0.994138
915,CAT,BitClave,1141505.15035,$0.002277
916,ORS,Origin Sport,1139565.62387,$0.026136
917,VOISE,Voise,1120649.48296,$0.002148
918,XTL,Stellite,1104191.00714,$0.000208
919,BTM,Bitmark,1102916.14363,$0.115683
920,JOT,Jury.Online T...,1100055.62104,$0.122570
921,BITS,Bitswift,1088128.18682,$0.280111
922,PLAY,HEROcoin,1084711.58546,$0.009058
923,GCN,GCN Coin,1082001.77979,$0.000007
924,SIG,Spectiv,1079347.72273,$0.003794
925,NAVI,Naviaddress,1074541.50544,$0.004430
926,KRB,Karbo,1073323.63855,$0.167948
927,AUC,Auctus,1072040.52425,$0.062961
928,ING,Iungo,1071243.85374,$0.026781
929,LDOGE,LiteDoge,1066462.98818,$0.000071
930,BELA,Bela,1066049.59072,$0.028287
931,NDC,NEVERDIE,1056244.31019,$0.025759
932,BOUTS,BoutsPro,1045189.48602,$0.013642
933,CAT,BlockCAT,1041782.83244,$0.141544
934,SHL,Oyster Shell,1023545.17346,$0.012085
935,CHX,Own,1018434.08484,$0.017315
936,LDC,Leadcoin,1018245.85884,$0.001298
937,RAIN,Condensate,1011288.98594,$0.003588
938,CRED,Verify,1009445.97137,$0.074725
939,HIRE,HireMatch,1007235.57949,$0.031243
940,ZOI,Zoin,988449.635679,$0.054134
941,GENE,Parkgene,983157.07814,$0.003514
942,SPD,Stipend,975014.919437,$0.123886
943,MVC,Maverick Chain,972669.872576,$0.009314
944,808,808Coin,969664.863726,$0.000003
945,BOB,Bob's Repair,966931.059096,$0.012351
946,EFYT,Ergo,965862.463282,$2.43
947,TGAME,Truegame,950422.019625,$0.014475
948,LWF,Local World F...,950323.751247,$0.009833
949,WRC,Worldcore,944559.085673,$0.005303
950,IFLT,InflationCoin,933392.482681,$0.000021
951,STAR,Starbase,923979.10872,$0.004928
952,HUSH,Hush,923394.44178,$0.199663
953,TEAM,TEAM (TokenSt...,911968.860661,$0.087130
954,EFL,e-Gulden,904121.393418,$0.053371
955,SKIN,SkinCoin,898800.515832,$0.010192
956,DOR,Dorado,893082.446927,$0.002923
957,ADC,AudioCoin,884392.720918,$0.000961
958,DIX,Dix Asset,882987.708822,$0.000009
959,TRUST,TrustPlus,882115.568669,$0.027492
960,BON,Bonpay,876461.114063,$0.077630
961,DEUS,DeusCoin,874348.903714,$0.078914
962,MRT,Miners' Rewar...,873784.767286,$0.087378
963,BUN,BunnyCoin,866071.834025,$0.000008
964,ORE,Galactrum,861620.625933,$0.422638
965,ALT,Altcoin,855195.559307,$6.94
966,ACE,ACE (TokenStars),839471.910285,$0.086839
967,EQL,Equal,839109.26483,$0.001784
968,THRT,Thrive Token,836806.393767,$0.008913
969,VIU,Viuly,833644.455688,$0.000960
970,GPKR,Gold Poker,824430.178884,$1.03
971,PTT,Proton Token,816775.348555,$0.000557
972,XNN,Xenon,803362.082259,$0.002678
973,PHO,Photon,802120.108433,$0.000033
974,AIX,Aigang,787008.259056,$0.037864
975,RYO,Ryo Currency,784929.458291,$0.134313
976,RGS,RusGas,783625.204371,$0.000762
977,NSR,NuShares,769376.066234,$0.000277
978,AKA,Akroma,768866.191727,$0.056022
979,INV,Invacio,768038.252733,$0.023405
980,SSS,Sharechain,763005.975481,$0.000300
981,KNDC,KanadeCoin,743392.789108,$0.000136
982,SPF,SportyCo,739502.535337,$0.013998
983,XMG,Magi,729518.482574,$0.089770
984,OOT,Utrum,704500.139212,$0.021744
985,BBP,BiblePay,702247.566612,$0.000776
986,PYLNT,Pylon Network,699726.069019,$1.92
987,KRL,Kryll,698856.83958,$0.064627
988,ODN,Obsidian,683880.790252,$0.027355
989,TZC,TrezarCoin,682654.698088,$0.007132
990,STAC,StarterCoin,672743.417369,$0.002382
991,DAY,Chronologic,671844.485594,$0.908812
992,DAN,Daneel,671098.866914,$0.018236
993,XBP,BlitzPredict,666208.541742,$0.001894
994,FND,FundRequest,658716.058085,$0.017193
995,BBO,Bigbom,658191.757797,$0.002206
996,DFT,DraftCoin,654980.618529,$0.081883
997,ZER,Zero,653806.883053,$0.217749
998,LNC,Blocklancer,652690.751966,$0.005433
999,CHC,ChainCoin,650582.396557,$0.041826
1000,CRB,Creditbit,642283.052444,$0.038477
1001,RUPX,Rupaya,642129.026224,$0.018353
1002,SGN,Signals Network,639964.655582,$0.007300
1003,KLKS,Kalkulus,636688.931531,$0.055178
1004,TRTL,Turtlecoin,634364.464491,$0.000029
1005,AMM,MicroMoney,629469.585847,$0.054205
1006,VIEW,View,625580.402221,$0.018513
1007,BIO,BioCoin,620757.667718,$0.000903
1008,BSTN,BitStation,618699.561269,$0.000176
1009,NLX,Nullex,601421.096673,$0.014858
1010,MNTP,GoldMint,597435.181616,$0.311977
1011,XMCC,Monoeci,596559.876574,$0.089261
1012,IG,IGToken,594716.307217,$0.000342
1013,FOR,FORCE,593118.837174,$0.004224
1014,FSBT,Forty Seven Bank,588852.839259,$0.167787
1015,BTW,BitWhite,585252.728191,$0.016111
1016,CMPCO,CampusCoin,563749.262142,$0.001181
1017,ADZ,Adzcoin,556951.790207,$0.012627
1018,BND,Blocknode,555560.522044,$0.010802
1019,INN,Innova,551265.420909,$0.128802
1020,XSG,SnowGem,532253.369103,$0.075203
1021,FGC,FantasyGold,522070.226561,$0.058252
1022,ELY,Elysian,521879.65359,$0.006520
1023,ACRE,ACRE,519794.083044,$0.290152
1024,LIVE,Live Stars,514386.852424,$0.012949
1025,CL,Coinlancer,512193.538085,$0.007248
1026,XCN,Cryptonite,502026.11971,$0.001148
1027,BIT,BitRewards,501555.185866,$0.001960
1028,FOXT,Fox Trading,501353.006209,$0.071316
1029,PMNT,Paymon,492070.703935,$0.000805
1030,CRC,CryCash,487624.292003,$0.106284
1031,DNR,Denarius,485893.377479,$0.136446
1032,CATO,CatoCoin,482832.454407,$0.643528
1033,UNB,UnbreakableCoin,479586.824811,$0.210516
1034,AMN,Amon,479043.417868,$0.001970
1035,CREA,Creativecoin,476098.167372,$0.029694
1036,BYC,Bytecent,475868.452948,$0.208231
1037,ADI,Aditus,473458.238573,$0.002022
1038,XGOX,XGOX,471968.193462,$0.000198
1039,PHI,PHI Token,471144.920407,$0.093624
1040,XPTX,PlatinumBAR,470042.515584,$0.352212
1041,OCL,Oceanlab,461192.684004,$0.009918
1042,SGR,Sugar Exchange,450443.969642,$0.023128
1043,IC,Ignition,448427.876314,$0.508067
1044,TOLL,Bridge Protocol,433003.945002,$0.001898
1045,TCC,The ChampCoin,432835.73885,$0.002624
1046,ZET,Zetacoin,431325.177135,$0.002559
1047,INSN,InsaneCoin,428545.260377,$0.018789
1048,PCN,PeepCoin,425814.170619,$0.000019
1049,KLN,Kolion,421383.96241,$0.601527
1050,WAND,WandX,419156.361238,$0.034233
1051,BWS,Bitcoin W Spe...,417666.836333,$0.004015
1052,APR,APR Coin,415984.107975,$0.112200
1053,CASH,Cashcoin,396179.079158,$0.008310
1054,SUR,Suretly,390903.239124,$1.76
1055,BMH,BlockMesh,390451.892998,$0.004363
1056,KBR,Kubera Coin,381131.651787,$0.003331
1057,OPC,OP Coin,380834.681959,$0.000205
1058,FRST,FirstCoin,376233.287411,$0.012056
1059,ITT,Intelligent T...,373829.09979,$0.038146
1060,ARC,Advanced Tech...,365007.867317,$0.014581
1061,MAO,Mao Zedong,364141.050367,$0.057961
1062,ONX,Onix,363317.658195,$0.003393
1063,XDNA,XDNA,355440.316122,$0.218824
1064,ZINC,ZINC,352562.091161,$0.102158
1065,ELLA,Ellaism,350377.332192,$0.031227
1066,MORE,More Coin,341005.771652,$0.170503
1067,PUT,PutinCoin,337146.431463,$0.000632
1068,EBET,EthBet,333372.782401,$0.039199
1069,ORI,Origami,328934.9841,$0.077838
1070,MAG,Magnet,325370.022818,$0.009652
1071,DEM,Deutsche eMark,321973.274758,$0.007735
1072,EDRC,EDRCoin,312947.401953,$0.112670
1073,RTB,AB-Chain RTB,308890.6701,$0.027380
1074,WSD,White Standard,305221.981188,$0.943062
1075,STU,bitJob,301558.966944,$0.006277
1076,MCAP,MCAP,290250.617812,$0.027669
1077,VIVO,VIVO,287518.558044,$0.110762
1078,EARTH,Earth Token,282930.753308,$0.001378
1079,LINX,Linx,278069.183175,$0.009777
1080,CROAT,CROAT,273372.488521,$0.007964
1081,EXMR,Ethereum Monero,265105.473164,$0.022539
1082,PRTX,Printex,255893.485612,$0.034624
1083,MNE,Minereum,250522.237384,$0.067342
1084,PROC,ProCurrency,247786.819107,$0.002493
1085,TRUMP,TrumpCoin,242644.302412,$0.036749
1086,ATS,Authorship,236632.389049,$0.002367
1087,VRS,Veros,236234.964997,$0.015353
1088,EGEM,EtherGem,230088.210575,$0.025397
1089,SCT,Soma,225434.046024,$0.034368
1090,RBT,Rimbit,225103.146804,$0.001139
1091,CAZ,Cazcoin,223898.544359,$0.007617
1092,ACED,AceD,223618.190806,$0.132476
1093,SAGA,SagaCoin,220970.907046,$0.044181
1094,ECASH,Ethereum Cash,219691.358771,$0.015581
1095,RLT,RouletteToken,215812.603877,$0.021121
1096,FTXT,FUTURAX,215143.766206,$0.000126
1097,BSM,Bitsum,212057.438242,$0.000208
1098,DTEM,Dystem,207415.154748,$0.114260
1099,TDS,TokenDesk,205420.027883,$0.019986
1100,XRA,Ratecoin,203506.554965,$0.001662
1101,UNIFY,Unify,192961.506613,$0.010804
1102,HOLD,Stellar Holdings,191387.387543,$0.000208
1103,XOV,XOVBank,190235.286783,$0.003938
1104,NBR,Niobio Cash,185652.527494,$0.001732
1105,DTRC,Datarius Credit,183718.228525,$0.001438
1106,FANS,Fantasy Cash,182045.376602,$0.038918
1107,LOBS,Lobstex,181332.212609,$0.031052
1108,PLAN,Plancoin,170521.484536,$0.031162
1109,PRIV,PRiVCY,169238.102227,$0.022356
1110,ARCT,ArbitrageCT,168625.312383,$0.001865
1111,WHL,WhaleCoin,162373.404601,$0.015931
1112,CCT,Crystal Clear ,158598.266332,$0.030360
1113,CVN,CVCoin,153800.061278,$0.718101
1114,HC,Harvest Maste...,153240.417268,$0.043488
1115,EVIL,Evil Coin,151624.605175,$0.007213
1116,TNS,Transcodium,148710.34556,$0.004756
